cardNumber,setCode,commander,foil
88,SPG,,
355,DFT,,
28,DFT,,
73,DFT,,
72,DFT,,
68,DFT,,
336,DFT,,Y
54,DFT,,
57,DFT,,
80,DFT,,
105,DFT,,
100,DFT,,
77,DFT,,
98,DFT,,
87,DFT,,
133,DFT,,
116,DFT,,
113,DFT,,
313,DFT,,
169,DFT,,
468,DFT,,
150,DFT,,
177,DFT,,
151,DFT,,
168,DFT,,
158,DFT,,
183,DFT,,
237,DFT,,
269,DFT,,
259,DFT,,
262,DFT,,
271,DFT,,
254,DFT,,
259,DFT,,
258,DFT,,
263,DFT,,
269,DFT,,
265,DFT,,
251,DFT,,
269,DFT,,
267,DFT,,
258,DFT,,
262,DFT,,
266,DFT,,
255,DFT,,
261,DFT,,
254,DFT,,
253,DFT,,
251,DFT,,
256,DFT,,
249,DFT,,
248,DFT,,
252,DFT,,
271,DFT,,
248,DFT,,
265,DFT,,
271,DFT,,
249,DFT,,
249,DFT,,
6,DFT,,
1,DFT,,
4,DFT,,
294,DFT,,
8,DFT,,
31,DFT,,
22,DFT,,
32,DFT,,
16,DFT,,
34,DFT,,
14,DFT,,
37,DFT,,
5,DFT,,
18,DFT,,
24,DFT,,
30,DFT,,
9,DFT,,
11,DFT,,
21,DFT,,
33,DFT,,
13,DFT,,
26,DFT,,
19,DFT,,
10,DFT,,
25,DFT,,
20,DFT,,
2,DFT,,
58,DFT,,
67,DFT,,
39,DFT,,
69,DFT,,
63,DFT,,
38,DFT,,
66,DFT,,
42,DFT,,
71,DFT,,
64,DFT,,
60,DFT,,
300,DFT,,
62,DFT,,
70,DFT,,
55,DFT,,
59,DFT,,
43,DFT,,
45,DFT,,
44,DFT,,
48,DFT,,
65,DFT,,
41,DFT,,
53,DFT,,
61,DFT,,
49,DFT,,
40,DFT,,
50,DFT,,
46,DFT,,
76,DFT,,
78,DFT,,
82,DFT,,
110,DFT,,
104,DFT,,
111,DFT,,
79,DFT,,
86,DFT,,
102,DFT,,
99,DFT,,
89,DFT,,
98,DFT,,
93,DFT,,
109,DFT,,
107,DFT,,
84,DFT,,
101,DFT,,
97,DFT,,
91,DFT,,
88,DFT,,
92,DFT,,
90,DFT,,
75,DFT,,
103,DFT,,
106,DFT,,
108,DFT,,
96,DFT,,
95,DFT,,
164,DFT,,
171,DFT,,
181,DFT,,
160,DFT,,
172,DFT,,
163,DFT,,
165,DFT,,
184,DFT,,
166,DFT,,
167,DFT,,
185,DFT,,
182,DFT,,
162,DFT,,
170,DFT,,
161,DFT,,
152,DFT,,
153,DFT,,
154,DFT,,
176,DFT,,
179,DFT,,
156,DFT,,
157,DFT,,
155,DFT,,
174,DFT,,
178,DFT,,
159,DFT,,
180,DFT,,
175,DFT,,
206,DFT,,
227,DFT,,
200,DFT,,
201,DFT,,
196,DFT,,
197,DFT,,
226,DFT,,
208,DFT,,
190,DFT,,
204,DFT,,
192,DFT,,
217,DFT,,
224,DFT,,
205,DFT,,
188,DFT,,
225,DFT,,
193,DFT,,
220,DFT,,
189,DFT,,
233,DFT,,
242,DFT,,
239,DFT,,
244,DFT,,
331,DFT,,
247,DFT,,
236,DFT,,
245,DFT,,
243,DFT,,
232,DFT,,
246,DFT,,
230,DFT,,
238,DFT,,
211,DFT,,
201,DFT,,
199,DFT,,
203,DFT,,
260,DFT,,
213,DFT,,
353,DFT,,
216,DFT,,
222,DFT,,
210,DFT,,
229,DFT,,
228,DFT,Y,
124,DFT,,
148,DFT,,
137,DFT,,
122,DFT,,
130,DFT,,
142,DFT,,
128,DFT,,
112,DFT,,
144,DFT,,
131,DFT,,
138,DFT,,
140,DFT,,
149,DFT,,
115,DFT,,
123,DFT,,
132,DFT,,
314,DFT,,
114,DFT,,
117,DFT,,
147,DFT,,
136,DFT,,
146,DFT,,
119,DFT,,
145,DFT,,
135,DFT,,
126,DFT,,
127,DFT,,
141,DFT,,
139,DFT,,
143,DFT,,
