cardNumber,setCode,commander,foil
884,CMM,,
885,CMM,,
367,CMM,,
53,MAT,,
916,CMM,,
917,CMM,,
918,CMM,,
816,CMM,,
888,CMM,,
921,CMM,,
890,CMM,,
865,CMM,,
29,AFR,,Y
892,CMM,,
893,CMM,,
868,CMM,,
157,CMM,,
821,CMM,,
895,CMM,,
6,C19,,
826,CMM,,
898,CMM,,
926,CMM,,
76,MAT,,
300,CMM,,
213,NEO,,Y
828,CMM,,
869,CMM,,
905,CMM,,
933,CMM,,
906,CMM,,
245,INV,,
49,CMM,,
261,CMR,,
910,CMM,,
394,NEO,,Y
936,CMM,,
836,CMM,,
410,CMM,,
175,2X2,,
839,CMM,,
938,CMM,,
886,CMM,,
10,ONE,,
902,CMM,,
915,CMM,,
419,CMM,,
989,CMM,,
420,CMM,,
993,CMM,,
996,CMM,,
1001,CMM,,
1008,CMM,,
1015,CMM,,
1033,CMM,,
1037,CMM,,
1043,CMM,,
1044,CMM,,
1045,CMM,,
1018,CMM,,
1024,CMM,,
1031,CMM,,
1039,CMM,,
1040,CMM,,
456,DMR,,
309,IKO,,
349,CMR,,
798,CMM,,
798,CMM,,
798,CMM,,
798,CMM,,
798,CMM,,
256,LTR,,
784,CMM,,
784,CMM,,
784,CMM,,
784,CMM,,
784,CMM,,
359,CMR,,Y
791,CMM,,
791,CMM,,
791,CMM,,
791,CMM,,
705,CMM,Y,Y
364,AFR,,
719,CMM,,
720,CMM,,
730,CMM,,
739,CMM,,
731,CMM,,
732,CMM,,
742,CMM,,
723,CMM,,
891,CMM,,
840,CMM,,
823,CMM,,
912,CMM,,
928,CMM,,
864,CMM,,
894,CMM,,
