cardNumber,setCode,commander,foil
313,M21,,
470,CLB,,
265,M21,,
264,M21,,
51,JMP,,
255,ELD,,
369,STX,,
368,STX,,
398,KHM,,
375,STX,,Y
267,AFC,,
369,STX,,
60,2X2,,
173,AFR,,Y
257,CMR,,Y
106,CMA,,
263,CMR,,
204,C21,,
236,CMR,,
352,CMR,,
368,STX,,
71,ZNR,,
398,KHM,,
154,SNC,,
264,SNC,,
180,M19,,
374,STX,,Y
227,CMR,,
458,CLB,,
261,CMR,,
469,CLB,,
65,ONE,,
290,MOM,,
196,M21,,
326,AFR,,
221,CMR,,
206,MOM,,
184,STX,,Y
375,2X2,,
174,AFR,,Y
175,MOM,,
179,NEO,,
45,DMR,,
264,CMR,,
57,MOM,,
225,CMR,,
228,CMR,,
255,CMR,,
47,MOM,,
187,DMU,,
187,M21,,
253,CMR,,
351,2X2,,
813,J22,,
375,STX,,Y
240,CMR,,
56,2X2,,
212,M21,,
146,2X2,,
295,2X2,,
198,M19,,
134,2X2,,
213,CMR,,
52,ONE,,
58,KHC,,
316,2X2,,
46,DMR,,
226,CMR,,
34,JMP,,
48,2X2,,
58,2X2,,
177,M21,,
176,MOM,,
313,M21,,
211,NEO,,
374,STX,,Y
290,MOM,,
189,M21,,
178,M21,,
258,DMU,,
80,NEO,,
82,C18,,
183,CNS,,
221,M21,Y,
